participation_id,date,zone_id,race,sexe,categorie,note_participation,concours_id,lieu_id,type_concours
P000055,2025-05-26,96644757B21870556317795,Arabe,Male,Senior,58.36,C0134,L0055,Regional
P000056,2025-06-10,96644757B71822601453569,Pur-Sang Arabe,Female,Elite,76.75,C0434,L0056,National
P000057,2025-09-08,96644757B1478822582790,Arabe,Femelle,Senior,57.93,C0295,L0057,Qualification
P000058,2025-07-18,96644757B70524131405695,Arabe,Female,Senior,87.07,C0177,L0058,Regional
P000059,2025-01-09,96644757B4563753155162,Barbe,M,Junior,96.98,C0432,L0059,Regional
P000060,2025-07-16,96644757B39685617616684,Arabe,Male,Loisir,77.57,C0481,L0060,Regional
P000061,2025-05-27,96644757B64717664824106,Pur-Sang Arabe,Femelle,Junior,71.78,C0159,L0061,National
P000062,2025-09-13,96644757B84561517472973,Anglo-Arabe,Femelle,Senior,65.07,C0261,L0062,Regional
P000063,2025-11-16,96644757B83322507681707,Arabe-Barbe,M,Senior,53.39,C0242,L0063,Qualification
P000064,2025-12-18,96644757B90795389022281,Barbe,M,Senior,66.73,C0351,L0064,Regional
P000065,2025-08-11,96644757B60043813814440,Arabe-Barbe,Femelle,Loisir,62.2,C0475,L0065,Regional
P000066,2025-05-13,96644757B99361415702964,Arabe-Barbe,M,Elite,58.91,C0274,L0066,Regional
P000067,2025-06-12,96644757B69343874835814,Arabe-Barbe,F,Loisir,87.18,C0399,L0067,Regional
P000068,2025-03-06,96644757B88930410593624,Pur-Sang Arabe,Femelle,Loisir,72.34,C0298,L0068,Regional
P000069,2025-12-08,96644757B36967765471663,Barbe,Male,Junior,77.37,C0443,L0069,National
P000070,2025-11-06,96644757B6720908192283,Barbe,Female,Junior,67.34,C0202,L0070,Regional
P000071,2025-11-08,96644757B25593504689486,Pur-Sang Arabe,Male,Senior,65.44,C0193,L0071,National
P000072,2025-04-30,96644757B69656421663665,Arabe,Femelle,Senior,77.25,C0211,L0072,Regional
P000073,2025-04-28,96644757B26045285741175,Arabe,Femelle,Senior,67.92,C0498,L0073,National
P000074,2025-11-09,96644757B5863178934624,Arabe-Barbe,Male,Junior,77.8,C0306,L0074,Regional
P000075,2025-07-18,96644757B78111329468616,Pur-Sang Arabe,Male,Junior,69.47,C0077,L0075,National
P000076,2025-09-15,96644757B30309850889145,Anglo-Arabe,Male,Senior,66.04,C0021,L0033,Regional
P000077,2025-06-28,96644757B50122508033550,Anglo-Arabe,Femelle,Elite,57.13,C0259,L0050,Qualification
P000078,2025-06-11,96644757B23117375948520,Pur-Sang Arabe,Male,Elite,48.66,C0403,L0010,Qualification
P000079,2025-08-19,96644757B80339347175881,Anglo-Arabe,Female,Loisir,70.01,C0240,L0042,Qualification
P000080,2025-10-24,96644757B18768670389586,Arabe-Barbe,Male,Junior,69.04,C0280,L0038,Qualification
P000081,2025-05-02,96644757B4563753155162,Pur-Sang Arabe,Male,Senior,55.54,C0399,L0059,Regional
P000082,2025-10-23,96644757B78111329468616,Anglo-Arabe,Female,Loisir,71.08,C0258,L0075,National
P000083,2025-03-31,96644757B50122508033550,Barbe,Femelle,Elite,71.74,C0454,L0050,Regional
P000084,2025-05-28,96644757B52167870329218,Arabe,Male,Senior,55.86,C0319,L0031,Qualification
P000085,2025-11-30,96644757B52167870329218,Arabe-Barbe,Female,Senior,68.27,C0365,L0031,Regional
P000086,2025-12-15,96644757B46616002618727,Arabe-Barbe,Female,Junior,73.85,C0390,L0032,Regional
P000087,2025-12-04,96644757B84561517472973,Arabe-Barbe,M,Loisir,73.87,C0313,L0062,National
P000088,2025-04-26,96644757B25874170222857,Arabe-Barbe,Male,Elite,58.18,C0025,L0025,Regional
P000089,2025-11-04,96644757B25654465299878,Arabe-Barbe,F,Senior,72.78,C0214,L0013,National
P000090,2025-12-08,96644757B9718685225615,Barbe,Male,Senior,80.17,C0071,L0026,Regional
P000091,2025-12-24,96644757B21316479060137,Barbe,Female,Senior,75.65,C0255,L0002,National
P000092,2025-01-08,96644757B35891480133263,Anglo-Arabe,F,Senior,69.1,C0072,L0008,Qualification
P000093,2025-09-29,96644757B26550498921337,Pur-Sang Arabe,Femelle,Elite,66.7,C0255,L0007,National
P000094,2025-12-30,96644757B70524131405695,Arabe-Barbe,Female,Senior,69.19,C0172,L0058,Regional
P000095,2025-10-07,96644757B21870556317795,Anglo-Arabe,M,Junior,74.27,C0011,L0055,Regional
P000096,2025-03-27,96644757B52871738396395,Arabe-Barbe,Female,Senior,68.58,C0063,L0053,Regional
P000097,2025-10-06,96644757B63187791317705,Arabe,F,Loisir,79.14,C0252,L0035,Regional
P000098,2025-02-08,96644757B90056368806308,Arabe-Barbe,Female,Senior,71.36,C0040,L0054,National
P000099,2025-06-25,96644757B25654465299878,Barbe,Femelle,Senior,79.39,C0428,L0013,Regional
P000100,2025-08-17,96644757B88930410593624,Arabe,Femelle,Elite,70.56,C0379,L0068,Regional
P000101,2025-06-16,96644757B18768670389586,Barbe,M,Loisir,76.33,C0354,L0038,Regional
P000102,2025-09-13,96644757B25593504689486,Barbe,Male,Elite,75.88,C0086,L0071,Qualification
P000103,2025-03-29,96644757B42104761334354,Anglo-Arabe,F,Loisir,65.29,C0398,L0012,Regional
P000104,2025-08-10,96644757B18768670389586,Arabe-Barbe,M,Junior,50.4,C0317,L0038,Regional
P000105,2025-08-24,96644757B52871738396395,Anglo-Arabe,Female,Loisir,82.06,C0195,L0053,Regional
P000106,2025-08-20,96644757B18768670389586,Arabe,Femelle,Loisir,71.05,C0001,L0038,Regional
P000107,2025-04-16,96644757B36466177595872,Arabe,M,Senior,51.41,C0264,L0034,Qualification
P000108,2025-04-22,96644757B25654465299878,Barbe,Femelle,Elite,64.06,C0398,L0013,Regional
P000109,2025-04-05,96644757B15248572972708,Pur-Sang Arabe,M,Junior,79.96,C0017,L0029,National
P000110,2025-06-18,96644757B89687162507810,Anglo-Arabe,Female,Senior,65.33,C0027,L0018,National
P000111,2025-08-02,96644757B34372354169334,Barbe,F,Junior,69.55,C0192,L0023,Qualification
P000112,2025-05-13,96644757B21390270390615,Pur-Sang Arabe,M,Junior,86.9,C0256,L0052,National
P000113,2025-05-30,96644757B62254917052717,Arabe-Barbe,Male,Loisir,61.2,C0237,L0048,National
P000114,2025-04-15,96644757B10773066300421,Arabe-Barbe,Female,Senior,63.67,C0213,L0046,Regional
P000115,2025-03-21,96644757B53695376753874,Barbe,M,Senior,74.21,C0128,L0028,Regional
P000116,2025-08-28,96644757B69656421663665,Arabe-Barbe,F,Senior,71.5,C0030,L0072,National
P000117,2025-10-25,96644757B26550498921337,Arabe-Barbe,Femelle,Senior,76.35,C0016,L0007,National
P000118,2025-04-17,96644757B9718685225615,Arabe-Barbe,Femelle,Senior,79.06,C0050,L0026,National
P000119,2025-11-11,96644757B48127384361052,Arabe,M,Senior,72.94,C0345,L0009,Regional
P000120,2025-07-28,96644757B9718685225615,Arabe-Barbe,Femelle,Elite,74.84,C0393,L0026,Regional
P000121,2025-03-03,96644757B26045285741175,Arabe-Barbe,M,Loisir,65.65,C0218,L0073,Regional
P000122,2025-05-14,96644757B53695376753874,Barbe,Femelle,Senior,72.72,C0039,L0028,Regional
P000123,2025-01-03,96644757B36967765471663,Pur-Sang Arabe,M,Loisir,74.65,C0208,L0069,Regional
P000124,2025-01-15,96644757B18768670389586,Arabe,Femelle,Elite,70.63,C0492,L0038,Regional
P000125,2025-05-03,96644757B52871738396395,Arabe,Female,Elite,74.35,C0125,L0053,National
P000126,2025-06-15,96644757B63187791317705,Pur-Sang Arabe,F,Junior,78.4,C0246,L0035,National
P000127,2025-10-19,96644757B93440982531475,Barbe,M,Junior,71.29,C0269,L0020,National
P000128,2025-02-19,96644757B70524131405695,Pur-Sang Arabe,F,Loisir,67.39,C0165,L0058,National
P000129,2025-11-03,96644757B26045285741175,Arabe-Barbe,Male,Senior,68.92,C0219,L0073,Regional
P000130,2025-03-27,96644757B93440982531475,Pur-Sang Arabe,Male,Senior,70.57,C0236,L0020,Regional
P000131,2025-02-20,96644757B4563753155162,Arabe-Barbe,Female,Loisir,70.33,C0237,L0059,National
P000132,2025-09-13,96644757B93440982531475,Arabe-Barbe,Male,Senior,92.92,C0359,L0020,Qualification
P000133,2025-10-10,96644757B90056368806308,Barbe,Male,Elite,64.8,C0290,L0054,National
P000134,2025-08-09,96644757B39685617616684,Arabe-Barbe,F,Senior,78.13,C0027,L0060,National
P000135,2025-02-12,96644757B36466177595872,Arabe-Barbe,M,Loisir,79.24,C0004,L0034,National
P000136,2025-02-12,96644757B71822601453569,Barbe,Femelle,Senior,70.06,C0205,L0056,National
P000137,2025-05-23,96644757B56432502406176,Barbe,Male,Junior,93.82,C0453,L0021,National
P000138,2025-06-14,96644757B51161748863193,Arabe-Barbe,Male,Elite,63.31,C0019,L0006,National
P000139,2025-12-31,96644757B35891480133263,Arabe-Barbe,Male,Junior,73.29,C0036,L0008,Regional
P000140,2025-04-15,96644757B36466177595872,Arabe-Barbe,Female,Loisir,60.57,C0339,L0034,Regional
P000141,2025-03-12,96644757B88930410593624,Arabe-Barbe,F,Elite,66.1,C0226,L0068,Regional
P000142,2025-12-12,96644757B23117375948520,Arabe,F,Junior,70.93,C0116,L0010,National
P000143,2025-02-26,96644757B63187791317705,Arabe,F,Junior,81.31,C0104,L0035,National
P000144,2025-01-10,96644757B52871738396395,Pur-Sang Arabe,Male,Loisir,69.82,C0332,L0053,Regional
P000145,2025-06-04,96644757B9799798831472,Pur-Sang Arabe,Female,Elite,81.01,C0262,L0016,Regional
P000146,2025-05-27,96644757B21870556317795,Anglo-Arabe,Femelle,Loisir,68.64,C0319,L0055,National
P000147,2025-08-15,96644757B34372354169334,Barbe,Female,Junior,71.35,C0140,L0023,Regional
P000148,2025-11-17,96644757B64717664824106,Arabe-Barbe,F,Loisir,92.99,C0263,L0061,Qualification
P000149,2025-12-07,96644757B53936679900609,Arabe-Barbe,Female,Senior,75.64,C0430,L0044,Regional
P000150,2025-04-16,96644757B80339347175881,Pur-Sang Arabe,Female,Elite,65.43,C0158,L0042,Regional
P000151,2025-12-24,96644757B54306876372793,Barbe,M,Senior,67.44,C0198,L0014,Regional
P000152,2025-08-19,96644757B63187791317705,Arabe-Barbe,F,Junior,63.42,C0082,L0035,Regional
P000153,2025-01-26,96644757B60043813814440,Pur-Sang Arabe,Male,Loisir,82.5,C0319,L0065,Regional
P000154,2025-12-09,96644757B21316479060137,Pur-Sang Arabe,F,Loisir,64.24,C0017,L0002,Regional
P000155,2025-02-20,96644757B1478822582790,Pur-Sang Arabe,Female,Senior,71.45,C0125,L0057,Regional
P000156,2025-08-03,96644757B99662254658575,Barbe,Femelle,Loisir,70.02,C0356,L0037,Regional
P000157,2025-10-16,96644757B90056368806308,Anglo-Arabe,M,Junior,77.36,C0010,L0054,National
P000158,2025-04-02,96644757B50122508033550,Barbe,M,Junior,62.74,C0494,L0050,Regional
P000159,2025-04-09,96644757B30309850889145,Arabe-Barbe,F,Junior,58.71,C0202,L0033,Regional
P000160,2025-06-23,96644757B75888110493475,Arabe-Barbe,Female,Senior,72.78,C0199,L0024,Regional
P000161,2025-11-19,96644757B62254917052717,Arabe,Female,Junior,77.68,C0268,L0048,Qualification
P000162,2025-03-23,96644757B54259280648674,Barbe,Female,Senior,76.96,C0319,L0011,National
P000163,2025-08-31,96644757B53936679900609,Arabe-Barbe,F,Junior,63.6,C0230,L0044,Qualification
P000164,2025-06-15,96644757B35891480133263,Pur-Sang Arabe,F,Elite,76.83,C0442,L0008,Qualification
P000165,2025-02-10,96644757B81090244987905,Arabe,Female,Loisir,65.6,C0481,L0049,Regional
P000166,2025-09-17,96644757B62254917052717,Anglo-Arabe,Femelle,Elite,66.46,C0100,L0048,National
P000167,2025-10-31,96644757B26550498921337,Arabe,Female,Junior,61.94,C0353,L0007,Regional
P000168,2025-07-30,96644757B1478822582790,Barbe,F,Elite,83.19,C0151,L0057,Qualification
P000169,2025-03-06,96644757B46616002618727,Pur-Sang Arabe,M,Junior,76.11,C0497,L0032,Regional
P000170,2025-02-26,96644757B39685617616684,Pur-Sang Arabe,F,Elite,79.95,C0127,L0060,Regional
P000171,2025-06-04,96644757B12662883146655,Arabe-Barbe,M,Senior,86.29,C0148,L0004,Qualification
P000172,2025-07-04,96644757B54306876372793,Anglo-Arabe,Male,Senior,98.0,C0357,L0014,Qualification
P000173,2025-07-21,96644757B18768670389586,Barbe,Femelle,Junior,51.39,C0394,L0038,Qualification
P000174,2025-03-30,96644757B91342156363380,Arabe-Barbe,F,Loisir,65.02,C0065,L0015,Regional
P000175,2025-07-02,96644757B25874170222857,Arabe,F,Loisir,63.55,C0278,L0025,Regional
P000176,2025-04-18,96644757B50122508033550,Pur-Sang Arabe,Femelle,Elite,62.69,C0173,L0050,Regional
P000177,2025-09-08,96644757B54259280648674,Arabe-Barbe,F,Loisir,62.86,C0306,L0011,Regional
P000178,2025-10-18,96644757B63064605054668,Pur-Sang Arabe,Male,Loisir,68.87,C0278,L0051,Regional
P000179,2025-08-27,96644757B35891480133263,Arabe,Male,Junior,57.89,C0492,L0008,Regional
P000180,2025-01-01,96644757B54306876372793,Arabe,Male,Elite,77.73,C0466,L0014,National
P000181,2025-12-29,96644757B91545835536411,Barbe,Male,Senior,71.87,C0327,L0045,Regional
P000182,2025-01-09,96644757B39685617616684,Arabe,Female,Senior,78.72,C0340,L0060,National
P000183,2025-12-31,96644757B25654465299878,Arabe,Femelle,Junior,76.28,C0449,L0013,Qualification
P000184,2025-01-12,96644757B34372354169334,Arabe,Female,Loisir,80.7,C0092,L0023,National
P000185,2025-07-08,96644757B6720908192283,Arabe,Femelle,Elite,66.69,C0363,L0070,Regional
P000186,2025-02-08,96644757B78111329468616,Pur-Sang Arabe,Male,Senior,92.64,C0386,L0075,Regional
P000187,2025-02-04,96644757B53936679900609,Anglo-Arabe,Female,Senior,74.04,C0064,L0044,Regional
P000188,2025-09-07,96644757B36466177595872,Barbe,Femelle,Senior,49.93,C0440,L0034,National
P000189,2025-09-23,96644757B92138134403299,Anglo-Arabe,M,Elite,62.57,C0350,L0027,Regional
P000190,2025-02-13,96644757B10773066300421,Arabe-Barbe,Femelle,Loisir,54.25,C0174,L0046,Regional
P000191,2025-12-23,96644757B91545835536411,Anglo-Arabe,Femelle,Senior,71.52,C0242,L0045,Qualification
P000192,2025-04-27,96644757B34372354169334,Arabe,Femelle,Senior,73.45,C0245,L0023,National
P000193,2025-04-27,96644757B21316479060137,Pur-Sang Arabe,F,Senior,63.2,C0459,L0002,Qualification
P000194,2025-04-19,96644757B42104761334354,Arabe,F,Senior,93.44,C0484,L0012,Regional
P000195,2025-06-18,96644757B69656421663665,Pur-Sang Arabe,Female,Senior,73.09,C0403,L0072,Qualification
P000196,2025-03-06,96644757B46616002618727,Arabe-Barbe,Male,Junior,77.04,C0326,L0032,Regional
P000197,2025-06-05,96644757B99662254658575,Arabe-Barbe,Femelle,Junior,61.35,C0052,L0037,Regional
P000198,2025-03-18,96644757B698999344864,Anglo-Arabe,M,Senior,64.4,C0457,L0036,Qualification
P000199,2025-01-19,96644757B4563753155162,Barbe,Femelle,Loisir,68.77,C0067,L0059,Qualification
P000200,2025-05-15,96644757B53703826618026,Pur-Sang Arabe,Femelle,Senior,66.88,C0084,L0005,Regional
P000201,2025-09-03,96644757B26550498921337,Barbe,F,Junior,52.82,C0035,L0007,Regional
P000202,2025-10-06,96644757B56432502406176,Pur-Sang Arabe,Female,Elite,68.64,C0473,L0021,Regional
P000203,2025-05-09,96644757B99662254658575,Barbe,M,Loisir,70.8,C0247,L0037,National
P000204,2025-04-29,96644757B63064605054668,Arabe,Femelle,Senior,69.72,C0118,L0051,Qualification
P000205,2025-10-15,96644757B99662254658575,Anglo-Arabe,Female,Junior,62.52,C0041,L0037,Regional
P000206,2025-09-06,96644757B36466177595872,Anglo-Arabe,Female,Elite,63.16,C0206,L0034,Regional
P000207,2025-10-31,96644757B25593504689486,Barbe,Femelle,Senior,65.4,C0362,L0071,National
P000208,2025-11-27,96644757B25654465299878,Arabe,M,Elite,72.11,C0497,L0013,National
P000209,2025-10-27,96644757B27397508075839,Pur-Sang Arabe,Female,Senior,75.05,C0276,L0043,Regional
P000210,2025-12-08,96644757B2759448404756,Pur-Sang Arabe,F,Junior,84.04,C0303,L0041,National
P000211,2025-06-02,96644757B698999344864,Arabe-Barbe,Female,Senior,71.44,C0418,L0036,Qualification
P000212,2025-05-25,96644757B64717664824106,Barbe,Femelle,Elite,61.39,C0451,L0061,Regional
P000213,2025-04-28,96644757B56432502406176,Barbe,M,Senior,74.82,C0140,L0021,National
P000214,2025-03-27,96644757B69656421663665,Anglo-Arabe,Femelle,Junior,73.71,C0495,L0072,National
P000215,2025-10-01,96644757B25874170222857,Pur-Sang Arabe,Male,Senior,65.37,C0260,L0025,National
P000216,2025-09-18,96644757B2759448404756,Arabe-Barbe,M,Elite,81.13,C0465,L0041,Qualification
P000217,2025-10-20,96644757B41522516415054,Anglo-Arabe,F,Junior,82.75,C0059,L0040,National
P000218,2025-03-03,96644757B90795389022281,Arabe,Female,Elite,85.68,C0049,L0064,National
P000219,2025-06-29,96644757B30309850889145,Pur-Sang Arabe,Male,Elite,87.25,C0442,L0033,Regional
P000220,2025-03-23,96644757B99920267922653,Arabe-Barbe,Femelle,Senior,60.29,C0336,L0022,National
P000221,2025-11-22,96644757B21316479060137,Pur-Sang Arabe,M,Loisir,68.02,C0088,L0002,Regional
P000222,2025-04-08,96644757B53695376753874,Pur-Sang Arabe,M,Loisir,72.21,C0447,L0028,Regional
P000223,2025-02-22,96644757B84561517472973,Pur-Sang Arabe,M,Senior,69.01,C0052,L0062,Regional
P000224,2025-07-28,96644757B24539393832458,Pur-Sang Arabe,F,Junior,65.42,C0341,L0001,National
P000225,2025-11-17,96644757B88930410593624,Anglo-Arabe,Femelle,Senior,54.76,C0103,L0068,Qualification
P000226,2025-12-01,96644757B2759448404756,Pur-Sang Arabe,Femelle,Junior,74.16,C0036,L0041,National
P000227,2025-02-05,96644757B54259280648674,Pur-Sang Arabe,Femelle,Senior,65.95,C0403,L0011,Qualification
P000228,2025-04-29,96644757B34372354169334,Arabe-Barbe,Male,Loisir,75.53,C0423,L0023,Regional
P000229,2025-02-26,96644757B80339347175881,Arabe,F,Loisir,64.69,C0053,L0042,National
P000230,2025-04-23,96644757B75888110493475,Pur-Sang Arabe,Female,Senior,59.54,C0047,L0024,Qualification
P000231,2025-07-14,96644757B48127384361052,Pur-Sang Arabe,Male,Senior,73.29,C0307,L0009,Regional
P000232,2025-04-13,96644757B50122508033550,Arabe-Barbe,Male,Junior,72.71,C0015,L0050,Qualification
P000233,2025-01-25,96644757B63064605054668,Anglo-Arabe,M,Senior,77.66,C0373,L0051,National
P000234,2025-07-06,96644757B48127384361052,Arabe,Male,Junior,92.81,C0457,L0009,Regional
P000235,2025-01-20,96644757B99920267922653,Arabe-Barbe,Female,Loisir,71.73,C0375,L0022,National
P000236,2025-03-24,96644757B85287588144355,Arabe-Barbe,M,Loisir,78.49,C0116,L0019,Regional
P000237,2025-01-01,96644757B50122508033550,Arabe-Barbe,Female,Junior,60.43,C0095,L0050,Regional
P000238,2025-02-01,96644757B21870556317795,Barbe,F,Elite,56.72,C0340,L0055,Regional
P000239,2025-06-09,96644757B21870556317795,Arabe,F,Senior,85.42,C0031,L0055,Regional
P000240,2025-11-07,96644757B25593504689486,Pur-Sang Arabe,Male,Loisir,57.94,C0269,L0071,Regional
P000241,2025-10-10,96644757B70524131405695,Pur-Sang Arabe,F,Senior,65.05,C0224,L0058,Qualification
P000242,2025-02-06,96644757B25874170222857,Anglo-Arabe,Femelle,Junior,69.32,C0372,L0025,Regional
P000243,2025-01-13,96644757B48127384361052,Anglo-Arabe,M,Elite,70.05,C0102,L0009,Qualification
P000244,2025-05-04,96644757B40957387644980,Pur-Sang Arabe,Female,Junior,64.59,C0381,L0047,National
P000245,2025-08-27,96644757B36967765471663,Arabe-Barbe,Female,Senior,70.52,C0349,L0069,Regional
P000246,2025-09-30,96644757B5863178934624,Pur-Sang Arabe,Male,Junior,84.79,C0120,L0074,Regional
P000247,2025-10-28,96644757B89687162507810,Anglo-Arabe,M,Elite,60.06,C0178,L0018,Qualification
P000248,2025-05-05,96644757B89687162507810,Anglo-Arabe,Male,Loisir,54.19,C0033,L0018,National
P000249,2025-03-03,96644757B64432809888793,Anglo-Arabe,M,Junior,82.68,C0225,L0003,Qualification
P000250,2025-01-10,96644757B54259280648674,Arabe,Male,Senior,78.56,C0131,L0011,Regional
P000251,2025-02-23,96644757B80339347175881,Pur-Sang Arabe,M,Elite,66.42,C0057,L0042,National
P000252,2025-01-24,96644757B80339347175881,Pur-Sang Arabe,Female,Junior,56.81,C0280,L0042,National
P000253,2025-11-11,96644757B53695376753874,Arabe-Barbe,Male,Senior,64.65,C0284,L0028,Qualification
P000254,2025-04-08,96644757B75888110493475,Arabe,Male,Elite,69.99,C0043,L0024,Regional
P000255,2025-10-28,96644757B83322507681707,Barbe,F,Senior,83.14,C0093,L0063,Qualification
P000256,2025-07-21,96644757B63187791317705,Pur-Sang Arabe,Male,Loisir,62.48,C0042,L0035,Regional
P000257,2025-07-16,96644757B64717664824106,Arabe-Barbe,M,Senior,65.11,C0339,L0061,Qualification
P000258,2025-06-15,96644757B26045285741175,Anglo-Arabe,Male,Elite,74.99,C0169,L0073,National
P000259,2025-10-27,96644757B75888110493475,Anglo-Arabe,M,Junior,46.72,C0036,L0024,National
P000260,2025-01-16,96644757B9799798831472,Anglo-Arabe,Male,Junior,78.76,C0096,L0016,Regional
P000261,2025-02-03,96644757B69656421663665,Arabe-Barbe,Femelle,Junior,55.78,C0487,L0072,Qualification
P000262,2025-06-04,96644757B62254917052717,Arabe,F,Loisir,74.99,C0128,L0048,Regional
P000263,2025-05-24,96644757B99920267922653,Anglo-Arabe,F,Loisir,71.42,C0342,L0022,Regional
P000264,2025-07-19,96644757B40957387644980,Anglo-Arabe,Femelle,Loisir,84.46,C0234,L0047,National
